"","Date","Entity","Code","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"1",2020-04-11,"Afghanistan","AFG",15,521,38928341,3.85323381749045e-07,1.33835654594168e-05,0.0287907869481766
"2",2020-04-12,"Afghanistan","AFG",18,555,38928341,4.62388058098854e-07,1.42569651247147e-05,0.0324324324324324
"3",2020-02-29,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"4",2020-04-08,"Afghanistan","AFG",11,367,38928341,2.825704799493e-07,9.42757874012663e-06,0.0299727520435967
"5",2020-04-06,"Afghanistan","AFG",7,299,38928341,1.79817578149554e-07,7.68077940953096e-06,0.0234113712374582
"6",2020-02-27,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"7",2020-04-05,"Afghanistan","AFG",5,270,38928341,1.28441127249682e-07,6.93582087148281e-06,0.0185185185185185
"8",2020-04-13,"Afghanistan","AFG",18,607,38928341,4.62388058098854e-07,1.55927528481114e-05,0.0296540362438221
"9",2020-04-07,"Afghanistan","AFG",7,337,38928341,1.79817578149554e-07,8.65693197662854e-06,0.0207715133531157
"10",2020-04-01,"Afghanistan","AFG",4,166,38928341,1.02752901799745e-07,4.26424542468943e-06,0.0240963855421687
"11",2020-04-17,"Afghanistan","AFG",29,794,38928341,7.44958538048154e-07,2.03964510072494e-05,0.0365239294710327
"12",2020-03-31,"Afghanistan","AFG",4,141,38928341,1.02752901799745e-07,3.62203978844102e-06,0.0283687943262411
"13",2020-02-28,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"14",2020-04-24,"Afghanistan","AFG",42,1281,38928341,1.07890546889733e-06,3.29066168013684e-05,0.0327868852459016
"15",2020-04-14,"Afghanistan","AFG",21,665,38928341,5.39452734448663e-07,1.70826699242077e-05,0.0315789473684211
"16",2020-04-02,"Afghanistan","AFG",4,192,38928341,1.02752901799745e-07,4.93213928638778e-06,0.0208333333333333
"17",2020-04-09,"Afghanistan","AFG",14,423,38928341,3.59635156299109e-07,1.08661193653231e-05,0.033096926713948
"18",2020-03-29,"Afghanistan","AFG",3,106,38928341,7.7064676349809e-08,2.72295189769325e-06,0.0283018867924528
"19",2020-03-30,"Afghanistan","AFG",4,114,38928341,1.02752901799745e-07,2.92845770129274e-06,0.0350877192982456
"20",2020-02-26,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"21",2020-04-03,"Afghanistan","AFG",4,235,38928341,1.02752901799745e-07,6.03673298073504e-06,0.0170212765957447
"22",2020-04-18,"Afghanistan","AFG",30,845,38928341,7.7064676349809e-07,2.17065505051962e-05,0.0355029585798817
"23",2020-05-06,"Afghanistan","AFG",95,3224,38928341,2.44038141774395e-06,8.28188388505947e-05,0.0294665012406948
"24",2020-03-17,"Afghanistan","AFG",NA,21,38928341,NA,5.39452734448663e-07,NA
"25",2020-02-25,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"26",2020-04-04,"Afghanistan","AFG",4,235,38928341,1.02752901799745e-07,6.03673298073504e-06,0.0170212765957447
"27",2020-03-19,"Afghanistan","AFG",NA,22,38928341,NA,5.65140959898599e-07,NA
"28",2020-04-10,"Afghanistan","AFG",15,484,38928341,3.85323381749045e-07,1.24331011177692e-05,0.0309917355371901
"29",2020-03-18,"Afghanistan","AFG",NA,22,38928341,NA,5.65140959898599e-07,NA
"30",2020-04-22,"Afghanistan","AFG",36,1092,38928341,9.24776116197708e-07,2.80515421913305e-05,0.032967032967033
"31",2020-03-02,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"32",2020-05-07,"Afghanistan","AFG",104,3392,38928341,2.67157544679338e-06,8.7134460726184e-05,0.0306603773584906
"33",2020-04-21,"Afghanistan","AFG",35,1031,38928341,8.99087890747772e-07,2.64845604388844e-05,0.0339476236663434
"34",2020-04-25,"Afghanistan","AFG",43,1351,38928341,1.10459369434726e-06,3.4704792582864e-05,0.0318282753515914
"35",2020-05-08,"Afghanistan","AFG",106,3563,38928341,2.72295189769325e-06,9.15271472781231e-05,0.0297502104967724
"36",2020-05-03,"Afghanistan","AFG",72,2469,38928341,1.84955223239542e-06,6.34242286358928e-05,0.0291616038882139
"37",2020-04-15,"Afghanistan","AFG",23,714,38928341,5.90829185348536e-07,1.83413929712545e-05,0.0322128851540616
"38",2020-03-28,"Afghanistan","AFG",2,91,38928341,5.13764508998727e-08,2.33762851594421e-06,0.021978021978022
"39",2020-03-27,"Afghanistan","AFG",1,75,38928341,2.56882254499363e-08,1.92661690874522e-06,0.0133333333333333
"40",2020-04-23,"Afghanistan","AFG",40,1176,38928341,1.02752901799745e-06,3.02093531291251e-05,0.0340136054421769
"41",2020-03-16,"Afghanistan","AFG",NA,16,38928341,NA,4.11011607198981e-07,NA
"42",2020-03-26,"Afghanistan","AFG",1,75,38928341,2.56882254499363e-08,1.92661690874522e-06,0.0133333333333333
"43",2020-03-24,"Afghanistan","AFG",1,40,38928341,2.56882254499363e-08,1.02752901799745e-06,0.025
"44",2020-03-01,"Afghanistan","AFG",NA,1,38928341,NA,2.56882254499363e-08,NA
"45",2020-03-15,"Afghanistan","AFG",NA,10,38928341,NA,2.56882254499363e-07,NA
"46",2020-04-20,"Afghanistan","AFG",33,996,38928341,8.47711439847899e-07,2.55854725481366e-05,0.0331325301204819
"47",2020-04-30,"Afghanistan","AFG",60,1949,38928341,1.54129352699618e-06,5.00663514019259e-05,0.0307850179579271
"48",2020-04-16,"Afghanistan","AFG",25,784,38928341,6.42205636248408e-07,2.01395687527501e-05,0.0318877551020408
"49",2020-03-20,"Afghanistan","AFG",NA,22,38928341,NA,5.65140959898599e-07,NA
"50",2020-04-19,"Afghanistan","AFG",30,908,38928341,7.7064676349809e-07,2.33249087085422e-05,0.0330396475770925
"51",2020-04-26,"Afghanistan","AFG",47,1463,38928341,1.20734659614701e-06,3.75818738332569e-05,0.0321257689678742
"52",2020-03-08,"Afghanistan","AFG",NA,4,38928341,NA,1.02752901799745e-07,NA
"53",2020-05-05,"Afghanistan","AFG",90,2894,38928341,2.31194029049427e-06,7.43417244521158e-05,0.0310988251554941
"54",2020-05-02,"Afghanistan","AFG",68,2335,38928341,1.74679933059567e-06,5.99820064256013e-05,0.0291220556745182
"55",2020-05-01,"Afghanistan","AFG",64,2171,38928341,1.64404642879593e-06,5.57691374518118e-05,0.0294795025333947
"56",2020-03-23,"Afghanistan","AFG",NA,34,38928341,NA,8.73399665297835e-07,NA
"57",2020-04-29,"Afghanistan","AFG",60,1827,38928341,1.54129352699618e-06,4.69323878970337e-05,0.0328407224958949
"58",2020-05-04,"Afghanistan","AFG",85,2704,38928341,2.18349916324459e-06,6.94609616166278e-05,0.0314349112426036
"59",2020-03-11,"Afghanistan","AFG",NA,7,38928341,NA,1.79817578149554e-07,NA
"60",2020-03-25,"Afghanistan","AFG",1,42,38928341,2.56882254499363e-08,1.07890546889733e-06,0.0238095238095238
"61",2020-03-21,"Afghanistan","AFG",NA,24,38928341,NA,6.16517410798472e-07,NA
"62",2020-04-28,"Afghanistan","AFG",57,1703,38928341,1.46422885064637e-06,4.37470479412416e-05,0.0334703464474457
"63",2020-03-22,"Afghanistan","AFG",NA,24,38928341,NA,6.16517410798472e-07,NA
"64",2020-04-27,"Afghanistan","AFG",57,1531,38928341,1.46422885064637e-06,3.93286731638525e-05,0.0372305682560418
"65",2020-04-11,"Africa","",691,12952,1340598113,5.15441572906346e-07,9.66135926524313e-06,0.0533508338480544
"66",2020-04-08,"Africa","",522,10524,1340598113,3.89378438577587e-07,7.85022737086308e-06,0.0496009122006842
"67",2020-04-10,"Africa","",630,12280,1340598113,4.69939494835019e-07,9.16009047075244e-06,0.0513029315960912
"68",2020-04-23,"Africa","",1232,25686,1340598113,9.18992789899593e-07,1.91601045465592e-05,0.0479638713696177
"69",2020-04-09,"Africa","",573,11446,1340598113,4.27421159588041e-07,8.5379800918756e-06,0.0500611567359776
"70",2020-02-21,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"71",2020-02-18,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"72",2020-04-18,"Africa","",1016,19897,1340598113,7.57870677384729e-07,1.48418827440196e-05,0.0510629743177363
"73",2020-02-19,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"74",2020-04-22,"Africa","",1189,24617,1340598113,8.86917554537838e-07,1.83626992767519e-05,0.0482999553154324
"75",2020-04-13,"Africa","",789,14522,1340598113,5.88543272102905e-07,1.08324783238002e-05,0.0543313593168985
"76",2020-04-12,"Africa","",743,13666,1340598113,5.54230229622888e-07,1.01939573593895e-05,0.0543685057807698
"77",2020-04-05,"Africa","",379,8440,1340598113,2.82709632607099e-07,6.29569735937708e-06,0.0449052132701422
"78",2020-03-05,"Africa","",NA,20,1340598113,NA,1.49187141217466e-08,NA
"79",2020-04-06,"Africa","",434,9175,1340598113,3.23736096441902e-07,6.84396010335127e-06,0.0473024523160763
"80",2020-04-17,"Africa","",965,18329,1340598113,7.19827956374275e-07,1.36722555568747e-05,0.0526488079000491
"81",2020-02-22,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"82",2020-02-23,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"83",2020-04-21,"Africa","",1155,23267,1340598113,8.61555740530869e-07,1.7355686073534e-05,0.0496411226200198
"84",2020-02-20,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"85",2020-02-17,"Africa","",NA,1,1340598113,NA,7.45935706087332e-10,NA
"86",2020-04-16,"Africa","",911,17243,1340598113,6.7954742824556e-07,1.28621693800639e-05,0.0528330336948327
"87",2020-04-19,"Africa","",1057,21057,1340598113,7.8845404133431e-07,1.5707168163081e-05,0.0501970841050482
"88",2020-04-07,"Africa","",477,9802,1340598113,3.55811331803657e-07,7.31166179106803e-06,0.0486635380534585
"89",2020-04-20,"Africa","",1120,22303,1340598113,8.35447990817812e-07,1.66366040528658e-05,0.0502174595345918
"90",2020-03-07,"Africa","",NA,43,1340598113,NA,3.20752353617553e-08,NA
