"","Entity","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","PerCapita.Death","PerCapita.Infection","Death.Rate"
"1","Afghanistan",25,784,38928341,6.42205636248408e-07,2.01395687527501e-05,0.0318877551020408
"2","Africa",911,17243,1340598113,6.7954742824556e-07,1.28621693800639e-05,0.0528330336948327
"3","Albania",25,494,2877800,8.68719160469803e-06,0.000171658906108833,0.0506072874493927
"4","Algeria",336,2160,43851043,7.6623034941267e-06,4.92576653193859e-05,0.155555555555556
"5","Andorra",33,673,77265,0.00042710153368278,0.00871028279298518,0.0490341753343239
"6","Angola",2,19,32866268,6.08526651094064e-08,5.78100318539361e-07,0.105263157894737
"7","Anguilla",0,3,15002,0,0.000199973336888415,0
"8","Antigua and Barbuda",2,23,97928,2.04231680418266e-05,0.000234866432481006,0.0869565217391304
"9","Argentina",109,2432,45195777,2.41172975076853e-06,5.38103371914593e-05,0.0448190789473684
"10","Armenia",18,1159,2963234,6.07444434020398e-06,0.000391126721683134,0.0155306298533218
"11","Aruba",1,93,106766,9.36627765393477e-06,0.000871063821815934,0.010752688172043
"12","Asia",12027,332689,4641054786,2.5914367648234e-06,7.16839200010254e-05,0.0361508796503642
"13","Australia",63,6458,25499881,2.47059976475969e-06,0.000253256083822509,0.0097553422112109
"14","Austria",393,14370,9006400,4.36356368804406e-05,0.00159553206608634,0.027348643006263
"15","Azerbaijan",13,1253,10139175,1.28215559944473e-06,0.000123580074315711,0.0103750997605746
"16","Bahamas",8,53,393248,2.03433965334852e-05,0.00013477500203434,0.150943396226415
"17","Bahrain",7,1673,1701583,4.11381636981564e-06,0.000983202112385937,0.00418410041841004
"18","Bangladesh",50,1231,164689383,3.03601841777499e-07,7.47467734456203e-06,0.0406173842404549
"19","Barbados",5,75,287371,1.73991112533972e-05,0.000260986668800958,0.0666666666666667
"20","Belarus",36,3728,9449321,3.809797550533e-06,0.000394525701899639,0.00965665236051502
"21","Belgium",4440,33573,11589616,0.000383101562640212,0.00289681728885582,0.132249128764186
"22","Belize",2,18,397621,5.02991542197218e-06,4.52692387977496e-05,0.111111111111111
"23","Benin",1,35,12123198,8.24864858265946e-08,2.88702700393081e-06,0.0285714285714286
"24","Bermuda",5,81,62273,8.0291619160792e-05,0.00130072423040483,0.0617283950617284
"25","Bhutan",0,5,771612,0,6.47994069558275e-06,0
"26","Bosnia and Herzegovina",40,1100,3280815,1.2192092513598e-05,0.000335282544123945,0.0363636363636364
"27","Botswana",1,13,2351625,4.25237867432095e-07,5.52809227661723e-06,0.0769230769230769
"28","Brazil",1736,28320,212559409,8.16712846618801e-06,0.000133233339955325,0.0612994350282486
"29","British Virgin Islands",0,3,30237,0,9.92161920825479e-05,0
"30","Bulgaria",36,747,6948445,5.18101532069405e-06,0.000107506067904402,0.0481927710843374
"31","Burkina Faso",32,542,20903278,1.5308603751048e-06,2.59289476033376e-05,0.0590405904059041
"32","Burundi",1,5,11890781,8.40987652535187e-08,4.20493826267593e-07,0.2
"33","Cambodia",0,122,16718971,0,7.29709980357045e-06,0
"34","Cameroon",17,855,26545864,6.40401080936752e-07,3.22084073059366e-05,0.0198830409356725
"35","Canada",1010,28364,37742157,2.67605266969771e-05,0.000751520375478275,0.0356085178395149
"36","Cayman Islands",1,60,65720,1.52160681679854e-05,0.000912964090079124,0.0166666666666667
"37","Central African Republic",0,11,4829764,0,2.27754399593852e-06,0
"38","Chad",0,27,16425859,0,1.6437496510837e-06,0
"39","Chile",94,8273,19116209,4.91729296326484e-06,0.000432774092394575,0.0113622627825456
"40","China",3346,83402,1439323774,2.32470279477229e-06,5.7945266733293e-05,0.0401189419917988
"41","Colombia",131,3105,50882884,2.57453960353348e-06,6.10224844959653e-05,0.0421900161030596
"42","Congo",5,117,5518092,9.06110300444429e-07,2.12029810303996e-05,0.0427350427350427
"43","Costa Rica",4,626,5094114,7.85219961704822e-07,0.000122886924006805,0.00638977635782748
"44","Croatia",34,1741,4105268,8.2820415134895e-06,0.000424089243381918,0.0195290063182079
"45","Cuba",24,814,11326616,2.1189029450632e-06,7.1866124886727e-05,0.0294840294840295
"46","Cyprus",17,715,1207361,1.40802957856018e-05,0.000592200675688547,0.0237762237762238
"47","Denmark",309,6681,5792203,5.33475777696327e-05,0.00115344714265021,0.0462505612932196
"48","Djibouti",2,435,988002,2.02428740022793e-06,0.000440282509549576,0.00459770114942529
"49","Dominica",0,16,71991,0,0.000222250003472656,0
"50","Dominican Republic",189,3614,10847904,1.74227205550492e-05,0.000333151915798665,0.0522966242390703
"51","Ecuador",388,7858,17643060,2.19916499745509e-05,0.000445387591494899,0.0493764316620005
"52","Egypt",183,2505,102334403,1.78825492342003e-06,2.44785714927169e-05,0.0730538922155689
"53","El Salvador",6,159,6486201,9.25040713354396e-07,2.45135789038915e-05,0.0377358490566038
"54","Equatorial Guinea",0,51,1402985,0,3.63510657633546e-05,0
"55","Eritrea",0,35,3546427,0,9.86908795810544e-06,0
"56","Estonia",35,1402,1326539,2.63844485537176e-05,0.0010568856249232,0.0249643366619116
"57","Ethiopia",3,85,114963583,2.60952200837373e-08,7.39364569039224e-07,0.0352941176470588
"58","Europe",87608,923265,747636045,0.000117180011030635,0.00123491236969454,0.094889332965075
"59","Europe",87608,923265,747636045,0.000117180011030635,0.00123491236969454,0.094889332965075
"60","Fiji",0,16,896444,0,1.78482983878524e-05,0
"61","Finland",72,3237,5540718,1.2994705740303e-05,0.000584220312241121,0.0222428174235403
"62","France",17167,106206,65273512,0.000263001016400037,0.00162709185925219,0.161638702144888
"63","French Polynesia",0,55,280904,0,0.000195796428673141,0
"64","Gabon",1,87,2225728,4.49291198205711e-07,3.90883342438968e-05,0.0114942528735632
"65","Gambia",1,9,2416664,4.13793560048066e-07,3.7241420404326e-06,0.111111111111111
"66","Georgia",3,306,3989175,7.52035195247138e-07,7.6707589915208e-05,0.00980392156862745
"67","Germany",3569,130450,83783945,4.25976599693414e-05,0.00155698087503519,0.0273591414334994
"68","Ghana",8,641,31072945,2.57458699199577e-07,2.06288782733661e-05,0.0124804992199688
