Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
Afghanistan,AFG,31-Dec-19,0,0
Afghanistan,AFG,1-Jan-20,0,0
Afghanistan,AFG,2-Jan-20,0,0
Afghanistan,AFG,3-Jan-20,0,0
Afghanistan,AFG,4-Jan-20,0,0
Afghanistan,AFG,5-Jan-20,0,0
Afghanistan,AFG,6-Jan-20,0,0
Afghanistan,AFG,7-Jan-20,0,0
Afghanistan,AFG,8-Jan-20,0,0
Afghanistan,AFG,9-Jan-20,0,0
Afghanistan,AFG,10-Jan-20,0,0
Afghanistan,AFG,11-Jan-20,0,0
Afghanistan,AFG,12-Jan-20,0,0
Afghanistan,AFG,13-Jan-20,0,0
Afghanistan,AFG,14-Jan-20,0,0
Afghanistan,AFG,15-Jan-20,0,0
Afghanistan,AFG,16-Jan-20,0,0
Afghanistan,AFG,17-Jan-20,0,0
Afghanistan,AFG,18-Jan-20,0,0
Afghanistan,AFG,19-Jan-20,0,0
Afghanistan,AFG,20-Jan-20,0,0
Afghanistan,AFG,21-Jan-20,0,0
Afghanistan,AFG,22-Jan-20,0,0
Afghanistan,AFG,23-Jan-20,0,0
Afghanistan,AFG,24-Jan-20,0,0
Afghanistan,AFG,25-Jan-20,0,0
Afghanistan,AFG,26-Jan-20,0,0
Afghanistan,AFG,27-Jan-20,0,0
Afghanistan,AFG,28-Jan-20,0,0
Afghanistan,AFG,29-Jan-20,0,0
Afghanistan,AFG,30-Jan-20,0,0
Afghanistan,AFG,31-Jan-20,0,0
Afghanistan,AFG,1-Feb-20,0,0
Afghanistan,AFG,2-Feb-20,0,0
Afghanistan,AFG,3-Feb-20,0,0
Afghanistan,AFG,4-Feb-20,0,0
Afghanistan,AFG,5-Feb-20,0,0
Afghanistan,AFG,6-Feb-20,0,0
Afghanistan,AFG,7-Feb-20,0,0
Afghanistan,AFG,8-Feb-20,0,0
Afghanistan,AFG,9-Feb-20,0,0
Afghanistan,AFG,10-Feb-20,0,0
Afghanistan,AFG,11-Feb-20,0,0
Afghanistan,AFG,12-Feb-20,0,0
Afghanistan,AFG,13-Feb-20,0,0
Afghanistan,AFG,14-Feb-20,0,0
Afghanistan,AFG,15-Feb-20,0,0
Afghanistan,AFG,16-Feb-20,0,0
Afghanistan,AFG,17-Feb-20,0,0
Afghanistan,AFG,18-Feb-20,0,0
Afghanistan,AFG,19-Feb-20,0,0
Afghanistan,AFG,20-Feb-20,0,0
Afghanistan,AFG,21-Feb-20,0,0
Afghanistan,AFG,22-Feb-20,0,0
Afghanistan,AFG,23-Feb-20,0,0
Afghanistan,AFG,24-Feb-20,0,0
Afghanistan,AFG,25-Feb-20,0,1
Afghanistan,AFG,26-Feb-20,0,1
Afghanistan,AFG,27-Feb-20,0,1
Afghanistan,AFG,28-Feb-20,0,1
Afghanistan,AFG,29-Feb-20,0,1
Afghanistan,AFG,1-Mar-20,0,1
Afghanistan,AFG,2-Mar-20,0,1
Afghanistan,AFG,8-Mar-20,0,4
Afghanistan,AFG,11-Mar-20,0,7
Afghanistan,AFG,15-Mar-20,0,10
Afghanistan,AFG,16-Mar-20,0,16
Afghanistan,AFG,17-Mar-20,0,21
Afghanistan,AFG,18-Mar-20,0,22
Afghanistan,AFG,19-Mar-20,0,22
Afghanistan,AFG,20-Mar-20,0,22
Afghanistan,AFG,21-Mar-20,0,24
Afghanistan,AFG,22-Mar-20,0,24
Afghanistan,AFG,23-Mar-20,0,34
Afghanistan,AFG,24-Mar-20,1,40
Afghanistan,AFG,25-Mar-20,1,42
Afghanistan,AFG,26-Mar-20,1,75
Afghanistan,AFG,27-Mar-20,1,75
Afghanistan,AFG,28-Mar-20,2,91
Afghanistan,AFG,29-Mar-20,3,106
Afghanistan,AFG,30-Mar-20,4,114
Afghanistan,AFG,31-Mar-20,4,141
Afghanistan,AFG,1-Apr-20,4,166
Afghanistan,AFG,2-Apr-20,4,192
Afghanistan,AFG,3-Apr-20,4,235
Afghanistan,AFG,4-Apr-20,4,235
Afghanistan,AFG,5-Apr-20,5,270
Afghanistan,AFG,6-Apr-20,7,299
Afghanistan,AFG,7-Apr-20,7,337
Afghanistan,AFG,8-Apr-20,11,367
Afghanistan,AFG,9-Apr-20,14,423
Afghanistan,AFG,10-Apr-20,15,484
Afghanistan,AFG,11-Apr-20,15,521
Afghanistan,AFG,12-Apr-20,18,555
Afghanistan,AFG,13-Apr-20,18,607
Afghanistan,AFG,14-Apr-20,21,665
Africa,,31-Dec-19,0,0
Africa,,1-Jan-20,0,0
Africa,,2-Jan-20,0,0
Africa,,3-Jan-20,0,0
Africa,,4-Jan-20,0,0
Africa,,5-Jan-20,0,0
Africa,,6-Jan-20,0,0
Africa,,7-Jan-20,0,0
Africa,,8-Jan-20,0,0
Africa,,9-Jan-20,0,0
Africa,,10-Jan-20,0,0
Africa,,11-Jan-20,0,0
Africa,,12-Jan-20,0,0
Africa,,13-Jan-20,0,0
Africa,,14-Jan-20,0,0
Africa,,15-Jan-20,0,0
Africa,,16-Jan-20,0,0
Africa,,17-Jan-20,0,0
Africa,,18-Jan-20,0,0
Africa,,19-Jan-20,0,0
Africa,,20-Jan-20,0,0
Africa,,21-Jan-20,0,0
Africa,,22-Jan-20,0,0
Africa,,23-Jan-20,0,0
Africa,,24-Jan-20,0,0
Africa,,25-Jan-20,0,0
Africa,,26-Jan-20,0,0
Africa,,27-Jan-20,0,0
Africa,,28-Jan-20,0,0
Africa,,29-Jan-20,0,0
Africa,,30-Jan-20,0,0
Africa,,31-Jan-20,0,0
Africa,,1-Feb-20,0,0
Africa,,2-Feb-20,0,0
Africa,,3-Feb-20,0,0
Africa,,4-Feb-20,0,0
Africa,,5-Feb-20,0,0
Africa,,6-Feb-20,0,0
Africa,,7-Feb-20,0,0
Africa,,8-Feb-20,0,0
Africa,,9-Feb-20,0,0
Africa,,10-Feb-20,0,0
Africa,,11-Feb-20,0,0
Africa,,12-Feb-20,0,0
Africa,,13-Feb-20,0,0
Africa,,14-Feb-20,0,0
Africa,,15-Feb-20,0,1
Africa,,16-Feb-20,0,1
Africa,,17-Feb-20,0,1
Africa,,18-Feb-20,0,1
Africa,,19-Feb-20,0,1
Africa,,20-Feb-20,0,1
Africa,,21-Feb-20,0,1
Africa,,22-Feb-20,0,1
Africa,,23-Feb-20,0,1
Africa,,24-Feb-20,0,1
Africa,,25-Feb-20,0,1
Africa,,26-Feb-20,0,2
Africa,,27-Feb-20,0,2
Africa,,28-Feb-20,0,3
Africa,,29-Feb-20,0,3
Africa,,1-Mar-20,0,3
Africa,,2-Mar-20,0,6
Africa,,3-Mar-20,0,9
Africa,,4-Mar-20,0,11
Africa,,5-Mar-20,0,20
Africa,,6-Mar-20,0,29
Africa,,7-Mar-20,0,43
Africa,,8-Mar-20,0,44
Africa,,9-Mar-20,1,83
Africa,,10-Mar-20,1,95
Africa,,11-Mar-20,1,105
Africa,,12-Mar-20,2,118
Africa,,13-Mar-20,4,158
Africa,,14-Mar-20,5,202
Africa,,15-Mar-20,6,239
Africa,,16-Mar-20,8,324
Africa,,17-Mar-20,8,404
Africa,,18-Mar-20,12,494
Africa,,19-Mar-20,16,634
Africa,,20-Mar-20,17,736
Africa,,21-Mar-20,24,967
Africa,,22-Mar-20,30,1131
Africa,,23-Mar-20,42,1290
Africa,,24-Mar-20,52,1697
Africa,,25-Mar-20,62,2170
Africa,,26-Mar-20,68,2652
Africa,,27-Mar-20,80,3216
Africa,,28-Mar-20,98,3700
Africa,,29-Mar-20,121,4079
Africa,,30-Mar-20,141,4572
Africa,,31-Mar-20,162,5064
Africa,,1-Apr-20,180,5494
Africa,,2-Apr-20,224,6248
Africa,,3-Apr-20,251,6744
Africa,,4-Apr-20,283,7323
Africa,,5-Apr-20,379,8489
Africa,,6-Apr-20,434,9175
Africa,,7-Apr-20,477,9802
Africa,,8-Apr-20,523,10524
Africa,,9-Apr-20,573,11446
Africa,,10-Apr-20,630,12280
Africa,,11-Apr-20,691,12952
Africa,,12-Apr-20,743,13666
Africa,,13-Apr-20,789,14522
Africa,,14-Apr-20,835,15291
Albania,ALB,9-Mar-20,0,2
Albania,ALB,10-Mar-20,0,6
Albania,ALB,11-Mar-20,0,10
Albania,ALB,12-Mar-20,1,11
Albania,ALB,13-Mar-20,1,23
Albania,ALB,14-Mar-20,1,33
Albania,ALB,15-Mar-20,1,38
Albania,ALB,16-Mar-20,1,42
Albania,ALB,17-Mar-20,1,51
Albania,ALB,18-Mar-20,1,55
Albania,ALB,19-Mar-20,2,59
Albania,ALB,20-Mar-20,2,70
Albania,ALB,21-Mar-20,2,70
Albania,ALB,22-Mar-20,2,76
Albania,ALB,23-Mar-20,2,89
Albania,ALB,24-Mar-20,4,100
Albania,ALB,25-Mar-20,5,123
Albania,ALB,26-Mar-20,5,146
Albania,ALB,27-Mar-20,6,174
Albania,ALB,28-Mar-20,9,186
Albania,ALB,29-Mar-20,10,197
Albania,ALB,30-Mar-20,10,212
Albania,ALB,31-Mar-20,12,223
Albania,ALB,1-Apr-20,15,243
Albania,ALB,2-Apr-20,15,259
Albania,ALB,3-Apr-20,16,277
Albania,ALB,4-Apr-20,17,304
Albania,ALB,5-Apr-20,19,333
Albania,ALB,6-Apr-20,21,361
Albania,ALB,7-Apr-20,22,377
Albania,ALB,8-Apr-20,22,383
Albania,ALB,9-Apr-20,22,400
Albania,ALB,10-Apr-20,23,409
Albania,ALB,11-Apr-20,23,416
Albania,ALB,12-Apr-20,23,433
Albania,ALB,13-Apr-20,23,446
Albania,ALB,14-Apr-20,23,467
Algeria,DZA,31-Dec-19,0,0
Algeria,DZA,1-Jan-20,0,0
Algeria,DZA,2-Jan-20,0,0
Algeria,DZA,3-Jan-20,0,0
Algeria,DZA,4-Jan-20,0,0
Algeria,DZA,5-Jan-20,0,0
Algeria,DZA,6-Jan-20,0,0
Algeria,DZA,7-Jan-20,0,0
Algeria,DZA,8-Jan-20,0,0
Algeria,DZA,9-Jan-20,0,0
Algeria,DZA,10-Jan-20,0,0
Algeria,DZA,11-Jan-20,0,0
Algeria,DZA,12-Jan-20,0,0
Algeria,DZA,13-Jan-20,0,0
Algeria,DZA,14-Jan-20,0,0
Algeria,DZA,15-Jan-20,0,0
Algeria,DZA,16-Jan-20,0,0
Algeria,DZA,17-Jan-20,0,0
Algeria,DZA,18-Jan-20,0,0
Algeria,DZA,19-Jan-20,0,0
Algeria,DZA,20-Jan-20,0,0
Algeria,DZA,21-Jan-20,0,0
Algeria,DZA,22-Jan-20,0,0
Algeria,DZA,23-Jan-20,0,0
Algeria,DZA,24-Jan-20,0,0
Algeria,DZA,25-Jan-20,0,0
Algeria,DZA,26-Jan-20,0,0
Algeria,DZA,27-Jan-20,0,0
Algeria,DZA,28-Jan-20,0,0
Algeria,DZA,29-Jan-20,0,0
Algeria,DZA,30-Jan-20,0,0
Algeria,DZA,31-Jan-20,0,0
